name	verified_gender	title	honorific_prefix	given_name	family_name	title_in_lords	link	life_span	birth	death	constituency	service_span	commons_service_beginning	commons_service_ending	lords_service_beginning	lords_service_ending	entire_service_beginning	entire_service_ending	house	commons_service_span
A'Court, Charles (Mr)	m	Mr	Mr	Charles	A'Court	unknown	mr-charles-acourt	June 17, 1785 - April 19, 1861	1785	1861	['Heytesbury']	[' March  8, 1820 - August  3, 1820']	1820	1820	unknown	unknown	1820	1820	commons	0
A'Court, William (Mr)	m	Mr	Mr	William	A'Court	Baron Heytesbury January 23, 1828 - May 31, 1860	mr-william-acourt	July 11, 1779 - May 31, 1860	1779	1860	['Dorchester']	[' December 28, 1812 - April 11, 1814']	1812	1814	1828	1860	1812	1860	commons_lords	2
Abbot, Charles (Baron)	m	Baron	Baron	Charles	Abbot	Baron Colchester of Colchester June  3, 1817 - May  8, 1829	baron-charles-abbot	October 14, 1757 - May  8, 1829	1757	1829	['Woodstock', 'Heytesbury', 'Oxford University']	[' July  6, 1802 - November  1, 1806', ' November  4, 1806 - January 27, 1807', ' November  6, 1806 - June 10, 1817']	1802	1817	1817	1829	1802	1829	commons_lords	16
Abbot, Charles (Mr)	m	Mr	Mr	Charles	Abbot	Baron Colchester of Colchester May  8, 1829 - October 18, 1867	mr-charles-abbot	March 12, 1798 - October 18, 1867	1798	1867	['unknown']	['unknown']	unknown	unknown	1829	1867	1829	1867	lords	unknown
Abbot, Reginald (Mr)	m	Mr	Mr	Reginald	Abbot	Baron Colchester of Colchester October 18, 1867 - February 26, 1919	mr-reginald-abbot	February 13, 1842 - February 26, 1919	1842	1919	['unknown']	['unknown']	unknown	unknown	1867	1919	1867	1919	lords	unknown
Abbott, Charles (Mr)	m	Mr	Mr	Charles	Abbott	Baron Tenterden April 30, 1827 - November  4, 1832	mr-charles-abbott	 - November  4, 1832	unknown	1832	['unknown']	['unknown']	unknown	unknown	1827	1832	1827	1832	lords	unknown
Abbott, Diane (Miss)	f	Miss	Miss	Diane	Abbott	unknown	miss-diane-abbott	September 27, 1953 -	1953	unknown	['Hackney North and Stoke Newington']	[' June 11, 1987 - ?']	1987	unknown	unknown	unknown	1987	1987	commons	unknown
Abdy, Thomas (Mr)	m	Mr	Mr	Thomas	Abdy	unknown	mr-thomas-abdy	1810 - 1877	1810	1877	['Lyme Regis']	[' July 29, 1847 - July  7, 1852']	1847	1852	unknown	unknown	1847	1852	commons	5
Abdy, William (Sir)	m	Sir	Sir	William	Abdy	unknown	sir-william-abdy	1779 - April 18, 1868	1779	1868	['Malmesbury']	[' February  8, 1817 - June 19, 1818']	1817	1818	unknown	unknown	1817	1818	commons	1
Abercromby, Alexander (Mr)	m	Mr	Mr	Alexander	Abercromby	unknown	mr-alexander-abercromby	March  4, 1784 - August 27, 1853	1784	1853	['Clackmannanshire and Kinross-shire']	[' April 11, 1817 - July  6, 1818']	1817	1818	unknown	unknown	1817	1818	commons	1
Abercromby, George (Mr)	m	Mr	Mr	George	Abercromby	Baron Abercromby of Aboukir and Tullibody February 11, 1821 - February 15, 1843	mr-george-abercromby-1	October 14, 1770 - February 15, 1843	1770	1843	['Edinburgh', 'Clackmannanshire and Kinross-shire', 'Clackmannanshire and Kinross-shire']	[' January 28, 1805 - November  4, 1806', ' November 18, 1806 - May 16, 1807', ' October 22, 1812 - August  7, 1815']	1805	1815	1821	1843	1805	1843	commons_lords	5
Abercromby, George (Mr)	m	Mr	Mr	George	Abercromby	3rd Baron Abercromby 1843 - 1852	mr-george-abercromby	1800 - 1852	1800	1852	['Clackmannanshire and Kinross-shire', 'Clackmannanshire and Kinross-shire', 'Stirlingshire', 'Clackmannanshire and Kinross-shire']	[' July 13, 1824 - June 28, 1826', ' August 10, 1830 - May 20, 1831', ' April 30, 1838 - June 29, 1841', ' June 29, 1841 - February 17, 1842']	1824	1842	1843	1852	1824	1852	commons_lords	7
Abercromby, George (Mr)	m	Mr	Mr	George	Abercromby	Baron Abercromby of Aboukir and Tullibody June 25, 1852 - October 30, 1917	mr-george-abercromby-2	September 23, 1838 - October 30, 1917	1838	1917	['unknown']	['unknown']	unknown	unknown	1852	1917	1852	1917	lords	unknown
Abercromby, James (Mr)	m	Mr	Mr	James	Abercromby	1st Baron Dunfermline 1839 - 1858	mr-james-abercromby	1776 - 1858	1776	1858	['Calne', 'Edinburgh']	[' October  7, 1812 - August  9, 1830', ' December 10, 1832 - May 15, 1839']	1812	1839	1839	1858	1812	1858	commons_lords	25
Abercromby, John (Mr)	m	Mr	Mr	John	Abercromby	Baron Abercromby of Aboukir and Tullibody October 30, 1917 - October  7, 1924	mr-john-abercromby	January 15, 1841 - October  7, 1924	1841	1924	['unknown']	['unknown']	unknown	unknown	1917	1924	1917	1924	lords	unknown
Abercromby, John (Sir)	m	Sir	Sir	John	Abercromby	unknown	sir-john-abercromby	April  2, 1772 - February 14, 1817	1772	1817	['Clackmannanshire and Kinross-shire']	[' August  7, 1815 - April 11, 1817']	1815	1817	unknown	unknown	1815	1817	commons	2
Abercromby, Robert (Mr)	m	Mr	Mr	Robert	Abercromby	unknown	mr-robert-abercromby	1835 - 1895	1835	1895	['Banffshire']	[' May  1, 1861 - March  8, 1893']	1861	1893	unknown	unknown	1861	1893	commons	32
Abercromby, Robert (Mr)	m	Mr	Mr	Robert	Abercromby	unknown	mr-robert-abercromby-1	February  4, 1784 - July  6, 1855	1784	1855	['Banffshire']	[' November  2, 1812 - July  6, 1818']	1812	1818	unknown	unknown	1812	1818	commons	6
Abercromby, Samuel (Mr)	m	Mr	Mr	Samuel	Abercromby	unknown	mr-samuel-abercromby	April 14, 1754 - March 12, 1834	1754	1834	['Midhurst']	[' May  9, 1807 - July 22, 1807']	1807	1807	unknown	unknown	1807	1807	commons	0
Abney-Hastings, Barbara (Ms)	f	Ms	Ms	Barbara	Abney-Hastings	Countess Loudoun June 22, 1967 - November 11, 1999	ms-barbara-abney-hastings	July  3, 1919 - November  1, 2002	1919	2002	['unknown']	['unknown']	unknown	unknown	1967	1999	1967	1999	lords	unknown
Abney-Hastings, Charles (Mr)	m	Mr	Mr	Charles	Abney-Hastings	Baron Donington May  4, 1880 - July 24, 1895	mr-charles-abney-hastings	June 17, 1822 - July 24, 1895	1822	1895	['unknown']	['unknown']	unknown	unknown	1880	1895	1880	1895	lords	unknown
Abney-Hastings, Charles (Sir)	m	Sir	Sir	Charles	Abney-Hastings	unknown	sir-charles-abney-hastings	October  1, 1792 - July 30, 1858	1792	1858	['Leicester']	[' June 23, 1826 - July 25, 1831']	1826	1831	unknown	unknown	1826	1831	commons	5
