"author_name"	"author_name_official"	"author_gender"	"author_birth"	"author_death"	"author_dialect"	"author_dialect_broad"	"novel_name"	"novel_name_official"	"novel_date"	"audience"	"loger_publishing"	"tokens"	"regular_mtld"	"batch"	"novel_period"
"alice_muriel_williamson"	"Alice Muriel Williamson"	"female"	1858	1933	"American"	"American"	"the_girl_who_had_nothing"	"The Girl Who Had Nothing"	1904	""	NA	36543	105.593655295429	1	"twentieth century"
"anna_katharine_green"	"Anna Katharine Green"	"female"	1846	1935	"American"	"American"	"the_mayors_wife"	"The Mayor’s Wife"	1907	""	NA	67337	104.015652760201	1	"twentieth century"
"annie_fellows_johnston"	"Annie Fellows Johnston"	"female"	1863	1931	"American"	"American"	"in_league_with_israel"	"In League with Israel"	1896	""	NA	56070	108.632880936914	1	"nineteenth century"
"Augusta_Huiell_Seaman"	"Augusta Huiell Seaman"	"female"	1879	1950	"American"	"American"	"The_Boarded_Up_House"	"The Boarded-Up House"	1914	""	NA	33358	114.216302392032	1	"twentieth century"
"b_m_bower"	"B. M. Bower"	"female"	1871	1940	"American"	"American"	"the_lure_of_the_dim_trails"	"The Lure of the Dim Trails"	1907	""	NA	28872	120.652158995401	1	"twentieth century"
"booth_tarkington"	"Booth Tarkington"	"male"	1869	1946	"American"	"American"	"the_guest_of_quesnay"	"The Guest of Quesnay"	1907	""	NA	60893	103.93653938209	1	"twentieth century"
"edgar_saltus"	"Edgar Saltus"	"male"	1855	1921	"American"	"American"	"mr_incouls_misadventure"	"Mr. Incoul’s Misadventure"	1887	""	NA	41369	89.350964279261	1	"nineteenth century"
"eleanor_h_porter"	"Eleanor H. Porter"	"female"	1868	1920	"American"	"American"	"oh_money_money"	"Oh, Money! Money!"	1918	""	NA	79876	101.356200373654	1	"twentieth century"
"Emerson_Hough"	"Emerson Hough"	"male"	1857	1923	"American"	"American"	"The_Covered_Wagon"	"The Covered Wagon"	1922	""	NA	86407	109.713022956798	1	"twentieth century"
"emma_dorothy_eliza_nevitte_southworth"	"Emma Dorothy Eliza Nevitte Southworth"	"female"	1819	1899	"American"	"American"	"the_missing_bride"	"The Missing Bride"	1855	""	NA	98076	89.3521134789584	1	"nineteenth century"
"emma_payne_erskine"	"Emma Payne Erskine"	"female"	1854	1924	"American"	"American"	"the_eye_of_dread"	"The Eye of Dread"	1913	""	NA	144620	83.0375129324063	1	"twentieth century"
"emma_wolf"	"Emma Wolf"	"female"	1865	1932	"American"	"American"	"other_things_being_equal"	"Other Things Being Equal"	1892	""	NA	65435	131.058638905738	1	"nineteenth century"
"ernest_vincent_wright"	"Ernest Vincent Wright"	"male"	1872	1939	"American"	"American"	"gadsby"	"Gadsby"	1939	""	NA	51267	105.042141142911	1	"twentieth century"
"Francis_Marion_Crawford"	"Francis Marion Crawford"	"male"	1854	1909	"American"	"American"	"An_American_Politician"	"An American Politician"	1884	""	NA	84165	83.7552943680602	1	"nineteenth century"
"garrett_p_servisse"	"Garrett P. Servisse"	"male"	1851	1929	"American"	"American"	"edisons_conquest_of_mars"	"Edison’s Conquest of Mars"	1898	""	NA	63942	93.6699757515133	1	"nineteenth century"
"gene_stratton_porter"	"Gene Stratton Porter"	"female"	1863	1924	"American"	"American"	"a_girl_of_the_limberlost"	"A Girl of the Limberlost"	1909	""	NA	119774	110.462916915156	1	"twentieth century"
"jean_webster"	"Jean Webster"	"female"	1876	1916	"American"	"American"	"jerry"	"Jerry Junior"	1907	""	NA	37698	113.785828539523	1	"twentieth century"
"john_kendrick_bangs"	"John Kendrick Bangs"	"male"	1862	1922	"American"	"American"	"a_house_boat_on_the_styx"	"A House Boat on the Styx"	1895	""	NA	27192	96.4630305588933	1	"nineteenth century"
"louis_joseph_vance"	"Louis Joseph Vance"	"male"	1879	1933	"American"	"American"	"the_lone_wolf"	"The Lone Wolf"	1914	""	NA	75071	123.703148431485	1	"twentieth century"
"louisa_may_alcott"	"Louisa May Alcott"	"female"	1832	1888	"American"	"American"	"little_men"	"Little Men"	1871	""	NA	104836	129.206016128337	1	"nineteenth century"
"Lucy_Maud_Montgomery"	"Lucy Maud Montgomery"	"female"	1874	1942	"can"	"American"	"Anne_of_Green_Gables"	"Anne of Green Gables"	1908	""	NA	102243	117.189790907689	1	"twentieth century"
"Lyman_Frank_Baum"	"Lyman Frank Baum"	"male"	1856	1919	"American"	"American"	"Aunt_Janes_Nieces"	"Aunt Jane’s Nieces"	1906	"juvenile"	NA	51191	114.60066398264	1	"twentieth century"
"maria_thompson_daviess"	"Maria Thompson Daviess"	"female"	1872	1924	"American"	"American"	"the_melting_of_molly"	"The Melting of Molly"	1912	""	NA	28002	98.5544354666945	1	"twentieth century"
"nathaniel_hawthorne"	"Nathaniel Hawthorne"	"male"	1804	1864	"American"	"American"	"the_marble_faun"	"The Marble Faun"	1860	""	NA	139238	139.49875178904	1	"nineteenth century"
"Philip_Francis_Nowlan"	"Philip Francis Nowlan"	"male"	1888	1940	"American"	"American"	"Armageddon"	"Armageddon"	1928	""	NA	27157	98.3884115832907	1	"twentieth century"
"sinclair_lewis"	"Sinclair Lewis"	"male"	1885	1951	"American"	"American"	"main_street"	"Main Street"	1920	""	NA	166071	124.197765011726	1	"twentieth century"
"susan_glaspell"	"Susan Glaspell"	"female"	1876	1948	"American"	"American"	"the_glory_of_the_conquered"	"The Glory of the Conquered"	1909	""	NA	92364	82.5965440288703	1	"twentieth century"
""	"Alice E. Bartlett"	"female"	1848	1920	"American"	"American"	""	"A New Aristocracy"	1891	""	NA	78990	123.829464236014	2	"nineteenth century"
""	"Arlo Bates"	"male"	1850	1918	"American"	"American"	""	"The Philistines"	1888	""	NA	96722	103.18789727029	2	"nineteenth century"
""	"Belle Kendrick Abbott"	"male"	1842	1893	"American"	"American"	"Leah Mordecai"	"Leah Mordecai"	1875	""	NA	57003	104.338207669452	2	"nineteenth century"
""	"Bernie Babcock"	"female"	1868	1962	"American"	"American"	""	"The Coming of the King "	1921	""	NA	79522	78.7808333189733	2	"twentieth century"
""	"Edward Bellamy"	"male"	1850	1898	"American"	"American"	""	"Equality"	1897	""	NA	154608	76.3981405230347	2	"nineteenth century"
""	"Francis Colburn Adams"	"male"	1850	1891	"American"	"American"	""	"An Outcast: a Novel"	1861	""	NA	120441	101.619268220532	2	"nineteenth century"
""	"George Ade"	"male"	1866	1944	"American"	"American"	""	"People You Know"	1903	""	NA	27242	99.0954517119393	2	"twentieth century"
""	"Geraldine Bonner"	"female"	1870	1930	"American"	"American"	""	"The book of Evelyn"	1913	""	NA	66931	114.945928712857	2	"twentieth century"
